"id","type","level","text","solution","reasoning","source","subject"
"P0001","mmlu_miscellaneous","Advanced","Who kills Tony at the end of the film 'West Side Story'?

Options:
A. Riff
B. Chino
C. Bernardo
D. He kills himself","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0002","mmlu_miscellaneous","Advanced","In what decade was the Hula-Hoop invented?

Options:
A. 1890s
B. 1920s
C. 1950s
D. 1970s","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0003","mmlu_miscellaneous","Advanced","Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?

Options:
A. The quantity demanded will not change.
B. The quantity demanded will increase.
C. Total revenue will decrease.
D. Total revenue will not change.","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0004","mmlu_miscellaneous","Advanced","After Prince Charles who is next in line to be the king of England?

Options:
A. Prince William
B. Prince Andrew
C. Prince Edward
D. Fresh Prince","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0005","mmlu_miscellaneous","Advanced","What was the average life expectancy of white males born in the U.S. just before the Civil War?

Options:
A. 40 years
B. 50 years
C. 60 years
D. 70 years","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0006","mmlu_miscellaneous","Advanced","The disco band ABBA comes from what country?

Options:
A. Norway
B. Sweden
C. Switzerland
D. The Netherlands","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0007","mmlu_miscellaneous","Advanced","What is the final word of the Pledge of Allegiance?

Options:
A. America
B. stands
C. indivisible
D. all","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0008","mmlu_miscellaneous","Advanced","Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?

Options:
A. Michael Dukakis
B. Walter Mondale
C. Gary Hart
D. Jimmy Carter","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0009","mmlu_miscellaneous","Advanced","Which of these companies is not an online stock brokerage?

Options:
A. E*Trade
B. EDigital
C. Datek Online
D. DLJ Direct","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0010","mmlu_miscellaneous","Advanced","How many airplanes are in the air worldwide right now (as of 2014)?

Options:
A. 5,000
B. 20,000
C. 80,000
D. 320,000","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0011","mmlu_miscellaneous","Advanced","Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?

Options:
A. Absorption lines in the solar spectrum are consistent with the presence of sodium.
B. Stars with the same spectral class as the Sun are made mostly of sodium.
C. Solar samples returned to Earth by the Voyager spacecraft contained sodium.
D. The Sun gives off energy produced by the nuclear fusion of sodium in its core","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0012","mmlu_miscellaneous","Advanced","Which of the following is an example of a chemical change?

Options:
A. Tearing up a piece of paper
B. Melting ice
C. Mixing vinegar with baking soda
D. Filling a balloon with air","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0013","mmlu_miscellaneous","Advanced","Which of the following is the most effective way to evaluate the development of a student's drafting skills throughout the school year?

Options:
A. Baseline assessment
B. Portfolio assessment
C. Short-answer unit assessment
D. Teacher-created assessment","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0014","mmlu_miscellaneous","Advanced","Which of these is commonly used to treat allergies?

Options:
A. antimatter
B. anticoagulants
C. antiseptics
D. antihistamines","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0015","mmlu_miscellaneous","Advanced","Ada Lovelace is credited with being the first person to have made what?

Options:
A. a computer program
B. a souffle
C. a brassiere
D. a mystery novel","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0016","mmlu_miscellaneous","Advanced","Which of these rock guitarists designed a colorful line of men's neckties?

Options:
A. Eric Clapton
B. Jerry Garcia
C. Jeff Beck
D. Keith Richards","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0017","mmlu_miscellaneous","Advanced","Earth's seasons are caused by which of the following?

Options:
A. The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun
B. The varying amount of sunspot activity
C. Earth's orbit about the Sun as an ellipse rather than a circle
D. The rotation of Earth during a 24-hour day","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0018","mmlu_miscellaneous","Advanced","In an adult human how long is the large intestine?

Options:
A. one foot
B. five feet
C. twelve feet
D. twenty feet","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0019","mmlu_miscellaneous","Advanced","Which of these countries is not in Europe?

Options:
A. Italy
B. Spain
C. Greece
D. Israel","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0020","mmlu_miscellaneous","Advanced","What is the only metal that is a liquid at normal atmospheric pressure and temperature?

Options:
A. lead
B. antimony
C. uranium
D. mercury","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0021","mmlu_miscellaneous","Advanced","What is your astrological sign if you were born on Halloween?

Options:
A. Scorpio
B. Capricorn
C. Libra
D. Cancer","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0022","mmlu_miscellaneous","Advanced","What are fans of the TV show 'Mystery Science Theater 3000' known as?

Options:
A. Mysterians
B. MiSTies
C. Bot Brigade
D. Gizmonics","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0023","mmlu_miscellaneous","Advanced","Before he went into coaching Phil Jackson played for which of the following NBA teams?

Options:
A. Boston Celtics
B. Los Angeles Lakers
C. New York Knicks
D. Philadelphia 76ers","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0024","mmlu_miscellaneous","Advanced","Which of the following is most characteristic of gesture drawing?

Options:
A. An outline
B. Action and movement
C. Gradual shading
D. Carefully observed details","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0025","mmlu_miscellaneous","Advanced","Which of the boys on the TV show 'My Three Sons' is adopted?

Options:
A. Mike
B. Ernie
C. Chip
D. Robbie","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0026","mmlu_miscellaneous","Advanced","Which of these is not a spice?

Options:
A. dill
B. aniseed
C. cucumber
D. cayenne","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0027","mmlu_miscellaneous","Advanced","In soccer which player is allowed to use his or her hands in the field of play?

Options:
A. midfielder
B. center
C. sweeper
D. goalkeeper","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0028","mmlu_miscellaneous","Advanced","The first commercial radio station was located in what city?

Options:
A. Chicago
B. Austin
C. Pittsburgh
D. Cleveland","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0029","mmlu_miscellaneous","Advanced","Who were the Chicago Seven?

Options:
A. war protesters
B. bluegrass musicians
C. bank robbers
D. mobsters","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0030","mmlu_miscellaneous","Advanced","Operant conditioning would be most useful for

Options:
A. determining whether a toddler is securely attached
B. increasing on-task behavior in the classroom
C. measuring a dependent variable
D. preventing anterograde amnesia","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0031","mmlu_miscellaneous","Advanced","John Rockefeller made his fortune in what industry?

Options:
A. automobile
B. oil
C. steel
D. railroad","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0032","mmlu_miscellaneous","Advanced","In what country did Pokemon originate?

Options:
A. France
B. Hungary
C. Japan
D. Canada","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0033","mmlu_miscellaneous","Advanced","Approximately how many movies are watched in homes in the United States in one year?

Options:
A. 200,000,000
B. 2,000,000,000
C. 20,000,000,000
D. 200,000,000,000","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0034","mmlu_miscellaneous","Advanced","An electric fence installed to keep both mature cattle and sheep in a field should have a wire placed at which of the following heights? I. 6 inches II. 18 inches III. 40 inches IV. 60 inches

Options:
A. I only
B. II only
C. II and III only
D. III and IV only","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0035","mmlu_miscellaneous","Advanced","What disease is characterized by a body's inability to properly metabolize glucose?

Options:
A. Influenza
B. Septicemia
C. Diabetes
D. Arthritis","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0036","mmlu_miscellaneous","Advanced","The majority of calcium in the human body is found where?

Options:
A. Hair
B. Blood
C. Bones
D. Digestive tract","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0037","mmlu_miscellaneous","Advanced","What is the name of Howard Stern's female on-air sidekick?

Options:
A. Allison Norris
B. Jackie Reeses
C. Jackie Martling
D. Robin Quivers","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
