"id","type","level","text","solution","reasoning","source","category","subject"
"C0001","mmlu_astronomy","Advanced","Why are the season's in Mars' southern hemisphere so extreme?

Options:
A. because Mars is farther from the sun than the Earth
B. because Mars has more carbon dioxide in its atmosphere than the Earth
C. because Mars has a more eccentric orbit than the Earth
D. because Mars' axis is more tilted than the Earth's","C","Advanced-level knowledge required in astronomy.","MMLU","","astronomy"
"C0002","mmlu_formal_logic","Advanced"," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
M ∨ N
~M · O / N

Options:
A. Valid
B. Invalid. Counterexample when M and O are true and N is false
C. Invalid. Counterexample when M is true and O and N are false
D. Invalid. Counterexample when O is true and M and N are false","A","Advanced-level knowledge required in formal logic.","MMLU","","formal_logic"
"C0003","mmlu_conceptual_physics","Advanced","The impulse–momentum relationship is a direct result of Newton’s

Options:
A. first law
B. second law
C. third law
D. law of gravity","B","Advanced-level knowledge required in conceptual physics.","MMLU","","conceptual_physics"
"C0004","mmlu_anatomy","Advanced","In the brain stem, pathways for:

Options:
A. nociception decussate in the medial lemniscus
B. skilled movements decussate in the medial lemniscus
C. skilled motor movements decussate in the pyramids.
D. discriminative touch decussate in the pyramids.","C","Advanced-level knowledge required in anatomy.","MMLU","","anatomy"
"C0005","mmlu_formal_logic","Advanced","Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
(O ≡ P) ∨ P / P ∨ ~O

Options:
A. Valid
B. Invalid. Counterexample when O and P are true
C. Invalid. Counterexample when O is true and P is false
D. Invalid. Counterexample when P is true and O is false","A","Advanced-level knowledge required in formal logic.","MMLU","","formal_logic"
"C0006","mmlu_clinical_knowledge","Advanced","A hypertonic solution is:

Options:
A. a solution that has a higher concentration of solutes than the normal human cell.
B. a solution that blocks off enteral tubes easily.
C. a solution that has a lower concentration of solutes than the normal human cell.
D. a solution with a high fibre content.","A","Advanced-level knowledge required in clinical knowledge.","MMLU","","clinical_knowledge"
"C0007","mmlu_formal_logic","Advanced"," Select the best translation into predicate logic. Some animals are neglected by cruel people. (Ax: x is an animal; Cx: x is cruel; Px: x is a person; Nxy: x neglects y)

Options:
A. (∃x)[(Ax • Cx) • (∃y)(Py • Nyx)]
B. (∃x)[(Cx • Px) • (∃y)(Ay • Nxy)]
C. (∃x)[(Ax • Px) • (∃y)(Cy • Nxy)]
D. (∃x)(∃y){[(Ax • Cy) • Py] • Nxy)]}","B","Advanced-level knowledge required in formal logic.","MMLU","","formal_logic"
"C0008","mmlu_professional_medicine","Professional","A 22-year-old woman comes to the physician in October for a follow-up examination. She feels well. She has a 2-year history of type 1 diabetes mellitus controlled with insulin. She had a normal Pap smear 3 months ago and saw her ophthalmologist 6 months ago. Her 67-year-old grandmother has breast cancer. She is 168 cm (5 ft 6 in) tall and weighs 57 kg (125 lb); BMI is 20 kg/m2 . Her hemoglobin A1c is 6.2%, and fingerstick blood glucose concentration is 118 mg/dL. Which of the following health maintenance recommendations is most appropriate at this time?

Options:
A. Dietary modification for weight loss
B. Human papillomavirus testing
C. Mammography
D. Influenza virus vaccine","D","Professional-level knowledge required in professional medicine.","MMLU","","professional_medicine"
"C0009","mmlu_college_biology","College","In Sweden, the red fox (Vulpes vulpes) severely limits populations of its prey, including hares. However, red fox populations are sometimes attacked by a fatal parasite, the mange mite. As mite population sizes increase at a given site, how are hare and fox populations most likely to respond at the same site? (Assume that hares have no major predators at this site other than foxes.)

Options:
A. Both fox and hare populations will decrease.
B. Both fox and hare populations will increase.
C. Fox populations will decrease and hare populations will increase.
D. Fox populations will increase and hare populations will decrease.","C","College-level knowledge required in college biology.","MMLU","","college_biology"
"C0010","mmlu_miscellaneous","Advanced","Which of these evangelists is a cousin of rocker Jerry Lee Lewis?

Options:
A. Billy Graham
B. Oral Roberts
C. Jerry Falwell
D. Jimmy Swaggart","D","Advanced-level knowledge required in miscellaneous.","MMLU","","miscellaneous"
